doi,title,abstract,author_keywords,authors,cited_by,journal,year,topics,all_topic_prop
10.1109/TPAMI.2023.3292075,Transfer Learning in Deep Reinforcement Learning: A Survey,"Reinforcement learning is a learning paradigm for solving sequential decision-making problems. Recent years have witnessed remarkable progress in reinforcement learning upon the fast development of deep neural networks. Along with the promising prospects of reinforcement learning in numerous domains such as robotics and game-playing, transfer learning has arisen to tackle various challenges faced by reinforcement learning, by transferring knowledge from external expertise to facilitate the efficiency and effectiveness of the learning process. In this survey, we systematically investigate the recent progress of transfer learning approaches in the context of deep reinforcement learning. Specifically, we provide a framework for categorizing the state-of-the-art transfer learning approaches, under which we analyze their goals, methodologies, compatible reinforcement learning backbones, and practical applications. We also draw connections between transfer learning and other relevant topics from the reinforcement learning perspective and explore their potential challenges that await future research progress.  ",deep learning; reinforcement learning; survey; Transfer learning,Zhu Z.; Lin K.; Jain A.K.; Zhou J.,430,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[15, 17, 12]","[0.1, 0.0, 0.01, 0.0, 0.0, 0.08, 0.0, 0.05, 0.0, 0.03, 0.0, 0.0, 0.11, 0.0, 0.0, 0.36, 0.0, 0.27, 0.0, 0.0]"
10.1109/TPAMI.2023.3241201,Attention Spiking Neural Networks,"Brain-inspired spiking neural networks (SNNs) are becoming a promising energy-efficient alternative to traditional artificial neural networks (ANNs). However, the performance gap between SNNs and ANNs has been a significant hindrance to deploying SNNs ubiquitously. To leverage the full potential of SNNs, in this paper we study the attention mechanisms, which can help human focus on important information. We present our idea of attention in SNNs with a multi-dimensional attention module, which infers attention weights along the temporal, channel, as well as spatial dimension separately or simultaneously. Based on the existing neuroscience theories, we exploit the attention weights to optimize membrane potentials, which in turn regulate the spiking response. Extensive experimental results on event-based action recognition and image classification datasets demonstrate that attention facilitates vanilla SNNs to achieve sparser spiking firing, better performance, and energy efficiency concurrently. In particular, we achieve top-1 accuracy of 75.92% and 77.08% on ImageNet-1 K with single/4-step Res-SNN-104, which are state-of-the-art results in SNNs. Compared with counterpart Res-ANN-104, the performance gap becomes -0.95/+0.21 percent and the energy efficiency is 31.8×/7.4×. To analyze the effectiveness of attention SNNs, we theoretically prove that the spiking degradation or the gradient vanishing, which usually holds in general SNNs, can be resolved by introducing the block dynamical isometry theory. We also analyze the efficiency of attention SNNs based on our proposed spiking response visualization method. Our work lights up SNN's potential as a general backbone to support various applications in the field of SNN research, with a great balance between effectiveness and energy efficiency.  ",Attention mechanism; efficient neuromorphic inference; neuromorphic computing; spiking neural network,Yao M.; Zhao G.; Zhang H.; Hu Y.; Deng L.; Tian Y.; Xu B.; Li G.,166,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[0, 16, 3]","[0.57, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0, 0.0]"
10.1016/j.ins.2022.11.139,"K-means clustering algorithms: A comprehensive review, variants analysis, and advances in the era of big data","Advances in recent techniques for scientific data collection in the era of big data allow for the systematic accumulation of large quantities of data at various data-capturing sites. Similarly, exponential growth in the development of different data analysis approaches has been reported in the literature, amongst which the K-means algorithm remains the most popular and straightforward clustering algorithm. The broad applicability of the algorithm in many clustering application areas can be attributed to its implementation simplicity and low computational complexity. However, the K-means algorithm has many challenges that negatively affect its clustering performance. In the algorithm's initialization process, users must specify the number of clusters in a given dataset apriori while the initial cluster centers are randomly selected. Furthermore, the algorithm's performance is susceptible to the selection of this initial cluster and for large datasets, determining the optimal number of clusters to start with becomes complex and is a very challenging task. Moreover, the random selection of the initial cluster centers sometimes results in minimal local convergence due to its greedy nature. A further limitation is that certain data object features are used in determining their similarity by using the Euclidean distance metric as a similarity measure, but this limits the algorithm's robustness in detecting other cluster shapes and poses a great challenge in detecting overlapping clusters. Many research efforts have been conducted and reported in literature with regard to improving the K-means algorithm's performance and robustness. The current work presents an overview and taxonomy of the K-means clustering algorithm and its variants. The history of the K-means, current trends, open issues and challenges, and recommended future research perspectives are also discussed. ",Big data clustering; Clustering algorithm; Improved k-means; K-means; K-means variants; Modified k-means; Perspectives on big data clustering,Ikotun A.M.; Ezugwu A.E.; Abualigah L.; Abuhaija B.; Heming J.,1183,Information Sciences,2023,"[4, 15, 12]","[0.0, 0.0, 0.0, 0.0, 0.34, 0.0, 0.01, 0.04, 0.0, 0.0, 0.0, 0.05, 0.17, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.04]"
10.1109/TNNLS.2022.3210269,Event-Based Adaptive NN Fixed-Time Cooperative Formation for Multiagent Systems,"This article focuses on the fixed-time formation control problem for nonlinear multiagent systems (MASs) with dynamic uncertainties and limited communication resources. Under the framework of the backstepping method, a time-varying formation function is introduced in the controller design. To attain the prescribed transient and steady-state performance of MASs, a fixed-time prescribed performance function (FTPPF) is designed and the further coordinate transformation addressing the zero equilibrium point problem is removed. To achieve better approximating performance, a neural network (NN)-based composite dynamic surface control (CDSC) strategy is proposed, where the CDSC scheme is consisted of prediction errors and serial-parallel estimation models. According to the signals generated by the estimation models, disturbance observers are established to overcome the difficulty from approximating errors and mismatched disturbances. Moreover, an improved dynamic event-triggered mechanism and varying threshold parameters are constructed to reduce the signal transmission frequency. Via the Lyapunov stability theory, all the signals in the closed-loop system are semi-globally uniformly ultimately bounded. Finally, the simulation results verify the effectiveness of the developed CDSC strategy.  ",Composite dynamic surface control (CDSC); dynamic event-triggered mechanism; fixed-time prescribed performance function (FTPPF); nonlinear multiagent systems (MASs); time-varying formation,Cao L.; Cheng Z.; Liu Y.; Li H.,192,IEEE Transactions on Neural Networks and Learning Systems,2024,"[1, 14, 6]","[0.01, 0.78, 0.0, 0.0, 0.0, 0.0, 0.07, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.0, 0.01, 0.01, 0.0, 0.0]"
10.1109/TNNLS.2021.3121870,Deep Reinforcement Learning for Cyber Security,"The scale of Internet-connected systems has increased considerably, and these systems are being exposed to cyberattacks more than ever. The complexity and dynamics of cyberattacks require protecting mechanisms to be responsive, adaptive, and scalable. Machine learning, or more specifically deep reinforcement learning (DRL), methods have been proposed widely to address these issues. By incorporating deep learning into traditional RL, DRL is highly capable of solving complex, dynamic, and especially high-dimensional cyber defense problems. This article presents a survey of DRL approaches developed for cyber security. We touch on different vital aspects, including DRL-based security methods for cyber-physical systems, autonomous intrusion detection techniques, and multiagent DRL-based game theory simulations for defense strategies against cyberattacks. Extensive discussions and future research directions on DRL-based cyber security are also given. We expect that this comprehensive review provides the foundations for and facilitates future studies on exploring the potential of emerging DRL to cope with increasingly complex cyber security problems.  ",Cyber defense; cyber security; cyberattacks; deep learning; deep reinforcement learning (DRL); Internet of Things (IoT); IoT; review; survey,Nguyen T.T.; Reddi V.J.,255,IEEE Transactions on Neural Networks and Learning Systems,2023,"[15, 13, 12]","[0.05, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.13, 0.14, 0.17, 0.0, 0.31, 0.01, 0.0, 0.04, 0.0]"
10.1109/TPAMI.2022.3195549,Domain Generalization: A Survey,"Generalization to out-of-distribution (OOD) data is a capability natural to humans yet challenging for machines to reproduce. This is because most learning algorithms strongly rely on the i.i.d. assumption on source/target data, which is often violated in practice due to domain shift. Domain generalization (DG) aims to achieve OOD generalization by using only source data for model learning. Over the last ten years, research in DG has made great progress, leading to a broad spectrum of methodologies, e.g., those based on domain alignment, meta-learning, data augmentation, or ensemble learning, to name a few; DG has also been studied in various application areas including computer vision, speech recognition, natural language processing, medical imaging, and reinforcement learning. In this paper, for the first time a comprehensive literature review in DG is provided to summarize the developments over the past decade. Specifically, we first cover the background by formally defining DG and relating it to other relevant fields like domain adaptation and transfer learning. Then, we conduct a thorough review into existing methods and theories. Finally, we conclude this survey with insights and discussions on future research directions.  ",domain shift; machine learning; model robustness; Out-of-distribution generalization,Zhou K.; Liu Z.; Qiao Y.; Xiang T.; Loy C.C.,615,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[5, 12, 7]","[0.03, 0.0, 0.0, 0.0, 0.0, 0.52, 0.03, 0.15, 0.0, 0.02, 0.0, 0.02, 0.19, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0]"
10.1109/TPAMI.2022.3155612,Real-Time Scene Text Detection with Differentiable Binarization and Adaptive Scale Fusion,"Recently, segmentation-based scene text detection methods have drawn extensive attention in the scene text detection field, because of their superiority in detecting the text instances of arbitrary shapes and extreme aspect ratios, profiting from the pixel-level descriptions. However, the vast majority of the existing segmentation-based approaches are limited to their complex post-processing algorithms and the scale robustness of their segmentation models, where the post-processing algorithms are not only isolated to the model optimization but also time-consuming and the scale robustness is usually strengthened by fusing multi-scale feature maps directly. In this paper, we propose a Differentiable Binarization (DB) module that integrates the binarization process, one of the most important steps in the post-processing procedure, into a segmentation network. Optimized along with the proposed DB module, the segmentation network can produce more accurate results, which enhances the accuracy of text detection with a simple pipeline. Furthermore, an efficient Adaptive Scale Fusion (ASF) module is proposed to improve the scale robustness by fusing features of different scales adaptively. By incorporating the proposed DB and ASF with the segmentation network, our proposed scene text detector consistently achieves state-of-The-Art results, in terms of both detection accuracy and speed, on five standard benchmarks.  ",arbitrary shapes; real-Time; Scene text detection,Liao M.; Zou Z.; Wan Z.; Yao C.; Bai X.,314,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[10, 11, 3]","[0.02, 0.0, 0.0, 0.12, 0.0, 0.0, 0.01, 0.11, 0.0, 0.0, 0.45, 0.21, 0.0, 0.01, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0]"
10.1109/TPAMI.2022.3211006,Beyond Self-Attention: External Attention Using Two Linear Layers for Visual Tasks,"Attention mechanisms, especially self-attention, have played an increasingly important role in deep feature representation for visual tasks. Self-attention updates the feature at each position by computing a weighted sum of features using pair-wise affinities across all positions to capture the long-range dependency within a single sample. However, self-attention has quadratic complexity and ignores potential correlation between different samples. This article proposes a novel attention mechanism which we call external attention, based on two external, small, learnable, shared memories, which can be implemented easily by simply using two cascaded linear layers and two normalization layers; it conveniently replaces self-attention in existing popular architectures. External attention has linear complexity and implicitly considers the correlations between all data samples. We further incorporate the multi-head mechanism into external attention to provide an all-MLP architecture, external attention MLP (EAMLP), for image classification. Extensive experiments on image classification, object detection, semantic segmentation, instance segmentation, image generation, and point cloud analysis reveal that our method provides results comparable or superior to the self-attention mechanism and some of its variants, with much lower computational and memory costs.  ",attention; computer vision; Deep learning; multi-layer perceptrons; transformer,Guo M.-H.; Liu Z.-N.; Mu T.-J.; Hu S.-M.,390,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[3, 10, 14]","[0.07, 0.0, 0.0, 0.37, 0.0, 0.0, 0.01, 0.0, 0.05, 0.04, 0.27, 0.07, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.1109/TNNLS.2022.3209154,Design and Experimental Validation of Deep Reinforcement Learning-Based Fast Trajectory Planning and Control for Mobile Robot in Unknown Environment,"This article is concerned with the problem of planning optimal maneuver trajectories and guiding the mobile robot toward target positions in uncertain environments for exploration purposes. A hierarchical deep learning-based control framework is proposed which consists of an upper level motion planning layer and a lower level waypoint tracking layer. In the motion planning phase, a recurrent deep neural network (RDNN)-based algorithm is adopted to predict the optimal maneuver profiles for the mobile robot. This approach is built upon a recently proposed idea of using deep neural networks (DNNs) to approximate the optimal motion trajectories, which has been validated that a fast approximation performance can be achieved. To further enhance the network prediction performance, a recurrent network model capable of fully exploiting the inherent relationship between preoptimized system state and control pairs is advocated. In the lower level, a deep reinforcement learning (DRL)-based collision-free control algorithm is established to achieve the waypoint tracking task in an uncertain environment (e.g., the existence of unexpected obstacles). Since this approach allows the control policy to directly learn from human demonstration data, the time required by the training process can be significantly reduced. Moreover, a noisy prioritized experience replay (PER) algorithm is proposed to improve the exploring rate of control policy. The effectiveness of applying the proposed deep learning-based control is validated by executing a number of simulation and experimental case studies. The simulation result shows that the proposed DRL method outperforms the vanilla PER algorithm in terms of training speed. Experimental videos are also uploaded, and the corresponding results confirm that the proposed strategy is able to fulfill the autonomous exploration mission with improved motion planning performance, enhanced collision avoidance ability, and less training time.  ",Deep reinforcement learning (DRL); mobile robot; motion control; noisy prioritized experience replay (PER); optimal motion planning; recurrent neural network; unexpected obstacles,Chai R.; Niu H.; Carrasco J.; Arvin F.; Yin H.; Lennox B.,193,IEEE Transactions on Neural Networks and Learning Systems,2024,"[15, 1, 0]","[0.16, 0.3, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.01, 0.0, 0.01, 0.01, 0.34, 0.12, 0.01, 0.0, 0.0]"
10.1109/TPAMI.2022.3152247,A Survey on Vision Transformer,"Transformer, first applied to the field of natural language processing, is a type of deep neural network mainly based on the self-Attention mechanism. Thanks to its strong representation capabilities, researchers are looking at ways to apply transformer to computer vision tasks. In a variety of visual benchmarks, transformer-based models perform similar to or better than other types of networks such as convolutional and recurrent neural networks. Given its high performance and less need for vision-specific inductive bias, transformer is receiving more and more attention from the computer vision community. In this paper, we review these vision transformer models by categorizing them in different tasks and analyzing their advantages and disadvantages. The main categories we explore include the backbone network, high/mid-level vision, low-level vision, and video processing. We also include efficient transformer methods for pushing transformer into real device-based applications. Furthermore, we also take a brief look at the self-Attention mechanism in computer vision, as it is the base component in transformer. Toward the end of this paper, we discuss the challenges and provide several further research directions for vision transformers.  ",Computer vision; high-level vision; low-level vision; self-Attention; transformer; video,Han K.; Wang Y.; Chen H.; Chen X.; Guo J.; Liu Z.; Tang Y.; Xiao A.; Xu C.; Xu Y.; Yang Z.; Zhang Y.; Tao D.,2693,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[7, 0, 3]","[0.28, 0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.06, 0.02, 0.0, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0]"
